Pan Lomitero (m) 869.0
Galletitas Minipolvorita Vainilla Frutilla 152g 617.5
Galletitas De Agua Traviata 303 Gr 1097.0
Harina Integral 100pureza 1 Kg 1450.0
Almidon De Maiz Sin Tacc Maizena X 500 Gr 1550.0
Arroz Gallo Parboil Selec X500g 1777.0
Fideos Lucchetti Tallarín N5 X500g 1100.0
Asado Del Centro 5999.0
Carnaza Comun 4579.0
Osobuco 3999.0
PALETA CHURRASCO 6499.0
Carne Vacuna Picada Enfriada E 4999.0
Milanesa Nalga 9375.0
Higado Congelado 3155.0
Pechito De Cerdo Fresco 3999.0
Pollo Con Menudos Congelado 2099.0
Milanesas De Merluza Cuisine Y Co  Rebozadas 500 Gr 5150.0
Mortadela Paladini Familiar 500 Gr 3537.0
Bife De Paleta De Cerdo Fresco 3799.0
Salchichón Calchaqui. 1541.0
Salame Milan Tripack Por Kg Mínimo 800 Gr Mayorista 9599.0
Aceite Cañuelas De Girasol - 1.5 L 2600.0
Manteca Ls Bienestar Animal 200 G 2680.89
Leche La Serenisima Liviana Bot 1l 1351.41
Leche En Polvo Nutrifuerza La Lechera® 800 Gr 5873.25
Queso Crema Clasico Tregar 280g 0
Queso Cremoso Punta Del Agua Horma X Kg 8357.0
Queso Reggianito Rallado La Serenisima 175gr 3356.25
Manteca Primer Premio 200 Gr 0
Yogur Entero La Serenísima Clásico Frutilla 900g 2374.0
Dulce De Leche La Serenisima Colonial 400 G 2661.12
Huevos Blancos Maxima 30 U 5650.0
Manzana Royal Gala Por Kg 2399.2
Mandarina Okitsu Por Kg 959.2
Naranja Jugo Especial Por Kg 2159.2
Banana Ecuador Por Kg 1519.2
Pera Por Kg 1039.2
Batata Por Kg 503.2
Papa Negra Por Kg 479.2
Acelga Green Life 550 Gr 1840.0
Cebolla Por Kg 0
Choclo X Unidad 423.2
Lechuga Capuchina Por Kg 3599.2
Tomate Redondo Grande Por Kg 1874.25
Zanahoria Organica Fraccionada 2400.0
Zapallo Coreano Por Kg 319.2
Tomate Perita En Lata Arcor 400 Gr 617.5
Arvejas Inalpa Secas Remojadas X300gr 550.0
Lentejas Cuisine-co 300 Gr 850.0
Azúcar Chango 1 Kg. 1337.0
Dulce De Batata El Guri Bar-1-kg 3099.0
Mermelada Light Durazno Alco 390 Gr 950.0
Sal Fina Dos Anclas 500 Gr 933.0
Mayonesa Clasica Hellmanns 237 Gr 850.0
Vinagre De Manzana Menoyo 500 Ml 1750.0
Caldo KNORR de Verdura deshidratado 6 cubos 637.5
Gaseosa Coca-cola Sabor Original 2.25 L 2030.0
Jugo En Polvo Clight Naranja Dulce 7,5 G 145.0
Soda Sifón Saldan 2 L 1200.0
Cerveza Quilmes Clásica Retornable 1 L 2380.0
Vino Tinto Viñas De Balbo Borgoña 1.125 Cc 0
Café Dolca Original Nescafé® 170 Gr 5200.0
Yerba Mate Suave Playadito 500 Gr 2100.0
Te Naturalidad Intacta La Virginia 50 Saquitos 1600.0
La Variacion de la canasta basica al dia de hoy 14-04-2024 es: 1.43 %
