Dia	Pan Frances x KG	Galletitas Minipolvorita Vainilla Frutilla 152g	Galletitas De Agua Traviata 303 Gr	Harina Cañuelas Ultra Refinada Vitamina D 1kg	Almidon De Maiz Sin Tacc Maizena X 500 Gr	Arroz Gallo Parboil Selec X500g	Fideos Lucchetti Tallarín N5 X500g	Asado Del Centro	Carnaza Comun	Osobuco	PALETA CHURRASCO	Carne Vacuna Picada Enfriada E	Milanesa Nalga	Higado Congelado	Pechito De Cerdo Fresco	Pollo Fresco Con Menudos	Milanesas De Merluza Cuisine Y Co  Rebozadas 500 Gr	Mortadela Paladini Familiar 500 Gr	Jamon Cocido Tripack Kg 1 Sob Minimo 800 Gr Mayorista	Salchichón Calchaqui.	Salame Milan Tripack Por Kg Mínimo 800 Gr Mayorista	Aceite Cañuelas De Girasol - 1.5 L	Manteca Ls Bienestar Animal 200 G	Leche La Serenisima Liviana Bot 1l	Leche En Polvo Nutrifuerza La Lechera® 800 Gr	Queso Crema Clasico Tregar 280g	Queso Cremoso Punta Del Agua Horma X Kg	Queso Reggianito Rallado La Serenisima 175gr	Margarina Margadan Vegetal 200g	Yogur Entero La Serenísima Clásico Frutilla 900g	Dulce De Leche La Serenisima Colonial 400 G	Huevos Blancos Maxima 30 U	Manzana Roja Por Kg	Mandarina Okitsu Por Kg	Naranja Jugo Especial Por Kg	Banana Ecuador Por Kg	Pera Por Kg	Batata Por Kg	Papa Negra Por Kg	Acelga Por U	Cebolla Superior Por Kg	Choclo X Unidad	Lechuga Capuchina Por Kg	Tomate Perita Por Kg	Zanahoria Orgánica Fraccionada X 1 Kilo	Zapallo Coreano Por Kg	Tomate Perita En Lata Arcor 400 Gr	Arvejas Inalpa Secas Remojadas X300gr	Lentejas Cuisine-co 300 Gr	Azúcar Chango 1 Kg.	Dulce De Batata El Guri Bar-1-kg	Mermelada Light Durazno Alco 390 Gr	Sal Fina Dos Anclas 500 Gr	Mayonesa Clasica Hellmanns 237 Gr	Vinagre De Manzana Menoyo 500 Ml	Caldo Knorr De Verduras 6 Cubos	Gaseosa Coca-cola Sabor Original 2.25 L	Jugo En Polvo Clight Naranja Dulce 7.5gr	Soda Saldan Sifon 2lt	Cerveza Quilmes Clasica 1lt Ret.	Vino Tinto Viñas De Balbo Borgoña 1.125 Cc	Café Dolca Suave Nescafé® 170 Gr	Yerba Mate Playadito Suave 1 Kg	Te Naturalidad Intacta La Virginia 50 Saquitos
10-05-2024	1000.00	6250.00	3656.67	800.00	3100.00	3558.00	2100.00	7819.00	4719.00	4605.00	8135.00	4999.00	7499.00	3415.00	3999.00	2299.00	10300.00	7074.00	8399.00	6420.83	9599.00	1760.00	13404.45	1801.88	8642.50	8750.00	8499.00	25571.43	6000.00	1777.78	6652.80	188.33	990.00	899.00	2699.00	1499.00	799.00	945.00	589.00	1199.00	1699.00	749.00	3599.00	4499.00	2699.00	329.00	3958.33	1833.33	4146.34	1378.00	3099.00	2435.90	1820.00	2266.67	3500.00	13492.06	1409.09	3973.33	618.00	2380.00	2622.22	27058.82	4257.00	32.00
11-05-2024	1000.00	6250.00	3656.67	800.00	3100.00	3558.00	2100.00	7819.00	4719.00	4605.00	8135.00	4999.00	7499.00	3415.00	3999.00	2299.00	10300.00	7074.00	8399.00	6420.83	9599.00	1760.00	13404.45	1801.88	8642.50	8750.00	8499.00	25571.43	6000.00	1777.78	6652.80	188.33	990.00	899.00	2699.00	1499.00	799.00	945.00	589.00	1199.00	1699.00	799.00	3599.00	4999.00	2699.00	329.00	3958.33	1833.33	4146.34	1378.00	3099.00	2435.90	1820.00	2266.67	3500.00	13492.06	1409.09	3973.33	618.00	2380.00	2622.22	27058.82	4257.00	32.00
12-05-2024	1000.00	6250.00	3656.67	800.00	3100.00	3558.00	2100.00	7819.00	4719.00	4605.00	8135.00	4999.00	7499.00	3415.00	3999.00	2299.00	10300.00	7074.00	8399.00	6420.83	9599.00	1760.00	13404.45	1801.88	8642.50	8750.00	8499.00	25571.43	6000.00	1777.78	6652.80	188.33	990.00	899.00	2699.00	1499.00	799.00	945.00	589.00	1199.00	1699.00	799.00	3599.00	4999.00	2699.00	329.00	3958.33	1833.33	4146.34	1378.00	3099.00	2435.90	1820.00	2266.67	3500.00	13492.06	1409.09	3973.33	618.00	2380.00	2622.22	27058.82	4257.00	32.00
13-05-2024	1000.00	6250.00	3656.67	800.00	3100.00	3558.00	2100.00	7819.00	4719.00	4605.00	8135.00	4999.00	7499.00	3415.00	4985.00	2299.00	10300.00	7074.00	8399.00	6420.83	9599.00	1760.00	13404.45	1801.88	8642.50	8750.00	8499.00	25571.43	6000.00	1777.78	6652.80	188.33	990.00	899.00	2699.00	1499.00	799.00	945.00	589.00	1199.00	1699.00	799.00	3599.00	4999.00	2699.00	329.00	3958.33	1833.33	4146.34	1378.00	3099.00	2435.90	1820.00	2266.67	3500.00	13492.06	1409.09	3973.33	618.00	2380.00	2380.00	27058.82	4257.00	32.00
14-05-2024	1000.00	6578.95	3656.67	800.00	3100.00	3558.00	2100.00	7825.00	4719.00	4605.00	8135.00	4999.00	7499.00	3415.00	4985.00	2399.00	10300.00	7074.00	8399.00	6420.83	9599.00	1760.00	13404.45	1801.88	8642.50	8750.00	8499.00	25571.43	6000.00	1777.78	6652.80	188.33	1275.00	899.00	2699.00	1499.00	799.00	945.00	589.00	1199.00	1699.00	749.00	3599.00	4999.00	2699.00	329.00	3958.33	1833.33	4146.34	1378.00	3099.00	2564.10	1820.00	2266.67	3500.00	13492.06	1409.09	3973.33	618.00	2380.00	2380.00	27058.82	4257.00	33.00
15-05-2024	1000.00	6578.95	3656.67	800.00	3100.00	3558.00	2040.00	7825.00	4719.00	4605.00	8135.00	4999.00	7499.00	3415.00	4985.00	2399.00	10300.00	7074.00	8399.00	6420.83	9599.00	1760.00	13404.45	1801.88	8642.50	9821.43	8499.00	25571.43	6000.00	1888.89	6652.80	188.33	1275.00	899.00	2699.00	1499.00	799.00	959.00	799.00	1199.00	1699.00	999.00	3699.00	5999.00	2699.00	329.00	4166.67	2000.00	4146.34	1378.00	3099.00	2564.10	1820.00	2266.67	3500.00	15079.37	1409.09	3973.33	618.00	2332.00	2380.00	27058.82	4257.00	33.00
16-05-2024	1000.00	6578.95	3656.67	800.00	3100.00	3558.00	2040.00	7819.00	4719.00	4835.00	8295.00	4999.00	7499.00	3415.00	4985.00	2399.00	10300.00	7074.00	8399.00	6420.83	9599.00	1760.00	14355.00	1838.00	9998.75	9821.43	8499.00	27388.57	6250.00	1888.89	7125.00	188.33	1275.00	899.00	2699.00	1499.00	799.00	959.00	799.00	1199.00	1699.00	1199.00	3699.00	6499.00	2699.00	329.00	4166.67	2000.00	4146.34	1378.00	3099.00	2564.10	1820.00	2266.67	3600.00	15079.37	1409.09	3973.33	618.00	2378.00	2711.11	27058.82	4257.00	33.00
17-05-2024	1000.00	6578.95	3656.67	800.00	3100.00	3580.00	2040.00	5999.00	4719.00	4835.00	6499.00	4999.00	7999.00	3415.00	4199.00	2399.00	10300.00	7074.00	8399.00	6420.83	9599.00	1774.00	14355.00	1838.00	9998.75	9821.43	8499.00	27388.57	6250.00	1888.89	7125.00	188.33	1275.00	899.00	2699.00	1899.00	799.00	999.00	799.00	1199.00	1699.00	1199.00	3699.00	6499.00	2699.00	329.00	4166.67	2000.00	4146.34	1378.00	3099.00	2564.10	1920.00	2266.67	3600.00	15079.37	1409.09	3973.33	650.00	2378.00	2378.00	27058.82	4865.00	33.00
18-05-2024	1000.00	6578.95	3656.67	800.00	3100.00	3580.00	2040.00	5999.00	4719.00	4835.00	6499.00	4999.00	7999.00	3415.00	4199.00	2399.00	10300.00	7074.00	8399.00	6420.83	9599.00	1774.00	14355.00	1838.00	9998.75	9821.43	8499.00	27388.57	6250.00	1888.89	7125.00	188.33	1699.00	899.00	2699.00	1899.00	799.00	999.00	799.00	1199.00	1699.00	1399.00	3699.00	6499.00	2699.00	329.00	4166.67	2000.00	4146.34	1378.00	3099.00	2564.10	1920.00	2266.67	3600.00	15079.37	1409.09	4067.00	650.00	2378.00	2378.00	27058.82	4865.00	33.00
19-05-2024	1000.00	6578.95	3656.67	800.00	3100.00	3580.00	2040.00	5999.00	4719.00	4835.00	6499.00	4999.00	7999.00	3415.00	4199.00	2399.00	10300.00	7074.00	8399.00	6420.83	9599.00	1774.00	14355.00	1838.00	9998.75	9821.43	8499.00	27388.57	6250.00	1888.89	7125.00	188.33	1699.00	899.00	2699.00	1899.00	799.00	999.00	799.00	1199.00	1699.00	1399.00	3699.00	6499.00	2699.00	329.00	4166.67	2000.00	4146.34	1378.00	3099.00	2564.10	1920.00	2266.67	3600.00	15079.37	1409.09	4066.67	650.00	2378.00	2378.00	27058.82	4865.00	33.00
20-05-2024	1000.00	6578.95	3656.67	800.00	3100.00	3580.00	2040.00	7819.00	4719.00	4835.00	6499.00	4999.00	7999.00	3415.00	4985.00	2399.00	10300.00	7074.00	8399.00	6420.83	9599.00	1774.00	14355.00	1838.00	9998.75	9821.43	8499.00	27388.57	6250.00	2611.11	7125.00	188.33	1699.00	899.00	2699.00	1899.00	799.00	999.00	799.00	1599.00	1699.00	1399.00	3699.00	6499.00	2699.00	329.00	4166.67	2000.00	4146.34	1378.00	3099.00	2564.10	1920.00	2266.67	3600.00	15079.37	1409.09	4066.67	650.00	2378.00	2378.00	31176.47	4865.00	33.00
21-05-2024	1000.00	6578.95	3656.67	800.00	3100.00	3580.00	2040.00	7985.00	4955.00	5079.00	6499.00	4999.00	7999.00	3415.00	4199.00	2399.00	10300.00	7074.00	8399.00	6420.83	9599.00	1774.00	14355.00	1838.00	9998.75	9821.43	8699.00	27388.57	6250.00	2611.11	7125.00	188.33	1699.00	899.00	2699.00	1899.00	799.00	999.00	799.00	1599.00	1699.00	1399.00	3699.00	6499.00	2699.00	329.00	4166.67	2000.00	4146.34	1378.00	3099.00	2564.10	1920.00	2266.67	3600.00	15079.37	1409.09	4066.67	650.00	2378.00	2711.11	31176.47	4865.00	33.00
22-05-2024	1000.00	6578.95	3656.67	800.00	3100.00	3580.00	2040.00	7985.00	4955.00	5079.00	6499.00	4999.00	7999.00	3415.00	4199.00	2399.00	10300.00	7074.00	8399.00	6420.83	9599.00	1774.00	14355.00	1838.00	9998.75	9821.43	8699.00	27388.57	6250.00	1888.89	7125.00	188.33	1699.00	899.00	2699.00	1899.00	799.00	999.00	799.00	1599.00	1699.00	1399.00	2999.00	6499.00	2699.00	329.00	4166.67	2000.00	4146.34	1378.00	3099.00	2564.10	1920.00	2266.67	3600.00	15079.37	1409.09	4066.67	650.00	2378.00	2711.11	31176.47	4865.00	33.00
23-05-2024	1000.00	6578.95	3656.67	800.00	3100.00	3580.00	2040.00	7985.00	4955.00	5079.00	6499.00	4999.00	7999.00	3415.00	4199.00	2399.00	10300.00	7074.00	8399.00	6420.83	9599.00	1774.00	14355.00	1500.00	9998.75	9821.43	8699.00	27388.57	6250.00	1888.89	7125.00	188.33	1699.00	899.00	2499.00	1899.00	799.00	999.00	799.00	1599.00	1699.00	1699.00	2999.00	6499.00	2699.00	329.00	4166.67	2000.00	4146.34	1378.00	3099.00	2564.10	1920.00	2266.67	3600.00	15079.37	1409.09	4066.67	650.00	2378.00	2711.11	31176.47	4865.00	33.00
24-05-2024	1000.00	6578.95	3656.67	800.00	3100.00	3580.00	2040.00	5999.00	4955.00	5079.00	8715.00	5499.00	7999.00	3415.00	4199.00	2399.00	10300.00	7074.00	8399.00	6420.83	9599.00	1774.00	14355.00	1500.00	9472.50	9821.43	8699.00	27388.57	6250.00	1888.89	7125.00	188.33	2299.00	899.00	1899.00	1899.00	899.00	999.00	799.00	1599.00	1699.00	1699.00	3699.00	6499.00	2699.00	329.00	4166.67	2000.00	4146.34	1378.00	3099.00	2564.10	1920.00	2266.67	3600.00	15079.37	1409.09	3986.67	650.00	2378.00	2711.11	31176.47	4865.00	33.00
25-05-2024	1000.00	6578.95	3656.67	800.00	3100.00	3580.00	2040.00	5999.00	4955.00	5079.00	8715.00	5499.00	7999.00	3415.00	4199.00	2399.00	10300.00	7074.00	8399.00	6420.83	9599.00	1774.00	14355.00	1500.00	9472.50	9821.43	8699.00	27388.57	6250.00	1888.89	7125.00	188.33	2299.00	899.00	1899.00	1899.00	899.00	999.00	799.00	1599.00	1699.00	1699.00	3699.00	6499.00	2699.00	329.00	4166.67	2000.00	4146.34	1378.00	3099.00	2564.10	1920.00	2266.67	3600.00	15079.37	1409.09	3986.67	650.00	2378.00	2711.11	31176.47	4865.00	33.00
26-05-2024	1000.00	6578.95	3656.67	800.00	3100.00	3580.00	2040.00	5999.00	4955.00	5079.00	8715.00	5499.00	7999.00	3415.00	4199.00	2399.00	10300.00	7074.00	8399.00	6420.83	9599.00	1774.00	14355.00	1500.00	9472.50	9821.43	8699.00	27388.57	6250.00	1888.89	7125.00	188.33	2299.00	899.00	1899.00	1899.00	899.00	999.00	799.00	1599.00	1699.00	1699.00	3699.00	6499.00	2699.00	329.00	4166.67	2000.00	4146.34	1378.00	3099.00	2564.10	1920.00	2266.67	3600.00	15079.37	1409.09	3986.67	650.00	2378.00	2711.11	31176.47	4865.00	33.00
27-05-2024	1000.00	6578.95	3656.67	800.00	3100.00	3580.00	2040.00	5999.00	4955.00	5079.00	8715.00	5499.00	7999.00	3415.00	4199.00	2399.00	10300.00	7074.00	8399.00	6420.83	9599.00	1774.00	14355.00	1500.00	9472.50	9821.43	8699.00	27388.57	6250.00	1888.89	7125.00	188.33	2299.00	899.00	2499.00	1899.00	999.00	999.00	799.00	1599.00	1699.00	1699.00	3699.00	6499.00	2699.00	399.00	4166.67	2000.00	4146.34	1378.00	3099.00	2564.10	1920.00	2266.67	3600.00	15079.37	1409.09	3986.67	650.00	2378.00	2711.11	31176.47	4865.00	33.00
28-05-2024	1000.00	6578.95	2959.26	800.00	3900.00	3580.00	2040.00	5999.00	4955.00	5079.00	8715.00	5499.00	7999.00	3415.00	4199.00	2399.00	5990.00	7074.00	8399.00	6420.83	9599.00	1774.00	14355.00	1500.00	9472.50	9821.43	8699.00	27388.57	6250.00	1888.89	7125.00	188.33	2299.00	899.00	1599.00	1899.00	999.00	1090.00	799.00	1599.00	1699.00	1999.00	3799.00	6999.00	2699.00	399.00	4166.67	2000.00	4146.34	1378.00	3099.00	2564.10	1920.00	2266.67	2850.00	15079.37	1409.09	3986.67	650.00	2378.00	2711.11	31176.47	4865.00	33.00
29-05-2024	1000.00	6578.95	2959.26	800.00	3900.00	3580.00	2040.00	5999.00	4955.00	5665.00	8715.00	5499.00	7999.00	3499.00	4199.00	2399.00	5990.00	7074.00	8399.00	6420.83	9599.00	1774.00	14355.00	1500.00	9472.50	9821.43	8699.00	27388.57	6250.00	1888.89	7125.00	188.33	2299.00	899.00	1599.00	1799.00	999.00	1090.00	799.00	1599.00	1699.00	1999.00	3799.00	6999.00	2699.00	399.00	4166.67	2000.00	4146.34	1378.00	3099.00	2564.10	1920.00	2266.67	2850.00	15079.37	1409.09	3986.67	650.00	2378.00	2711.11	31176.47	4865.00	33.00
30-05-2024	1000.00	6578.95	2959.26	800.00	3900.00	3580.00	2040.00	5999.00	4955.00	5665.00	8715.00	5499.00	7999.00	3499.00	4199.00	2399.00	5990.00	7074.00	8399.00	6420.83	9599.00	1800.00	14355.00	1500.00	9441.25	9821.43	8999.00	27388.57	6250.00	1888.89	7125.00	188.33	2299.00	899.00	1599.00	1799.00	999.00	1159.00	799.00	1599.00	1699.00	2499.00	3799.00	6999.00	2699.00	459.00	4166.67	2000.00	4146.34	1378.00	3099.00	2564.10	1920.00	2266.67	2850.00	15079.37	1409.09	3986.67	650.00	2378.00	2933.33	31176.47	4865.00	33.00
31-05-2024	1000.00	6578.95	2959.26	800.00	3900.00	3580.00	2040.00	5999.00	4955.00	5665.00	8715.00	5499.00	10255.00	3499.00	4199.00	2399.00	5990.00	7074.00	8399.00	6420.83	9599.00	1800.00	14355.00	1379.25	9441.25	9821.43	8999.00	27388.57	6250.00	1888.89	7125.00	188.33	2299.00	899.00	1599.00	1799.00	799.00	1159.00	599.00	1599.00	1699.00	2499.00	3299.00	6999.00	2699.00	459.00	4166.67	2000.00	4146.34	1378.00	3099.00	2564.10	1920.00	2266.67	2850.00	15079.37	1409.09	3986.67	650.00	2380.00	2622.22	31176.47	4865.00	33.00
